"measure","status","current_description","replacement_description","expression"
"meas.ssr_history_pipeline_post_sales_amt","KEEP","Measure calculating ssr history pipeline post sales amt. Respects the current filter context.","Summarizes pipeline post sales amount where step is Post-Sales Support.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ssr_history[step_name] = ""Post-Sales Support"")"
"meas.ssr_history_pipeline_post_sales_expansion_sale_amt","KEEP","Measure calculating ssr history pipeline post sales expansion sale amt. Respects the current filter context.","Summarizes pipeline post sales expansion sale amount where step is Post-Sales Support.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ssr_history[step_name] = ""Post-Sales Support"" && ssr_history[opp_sale_type] = ""Expansion Sale"")"
"meas.ssr_history_pipeline_post_sales_renewals_amt","KEEP","Measure calculating ssr history pipeline post sales renewals amt. Respects the current filter context.","Summarizes pipeline post sales renewals amount where step is Post-Sales Support.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ssr_history[step_name] = ""Post-Sales Support"" && ssr_history[opp_sale_type] = ""Renewal"")"
"meas.ssr_history_pipeline_prospecting_amt","KEEP","Measure calculating ssr history pipeline prospecting amt. Respects the current filter context.","Summarizes pipeline prospecting amount where step is Prospecting.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ssr_history[step_name] = ""Prospecting"")"
"meas.ssr_history_propensity_high_count","KEEP","Count of ssr history propensity high count. Respects the current filter context.","Calculates the number of propensity high count.","var cnt = CALCULATE(count(ssr_history[_sys_doc_id]), ssr_history[entity_propensity] =""High"")
			var res =  if(ISBLANK(cnt), 0,cnt)
			return res"
"meas.ssr_history_propensity_highest_count","KEEP","Count of ssr history propensity highest count. Respects the current filter context.","Calculates the number of propensity highest count.","var cnt = CALCULATE(count(ssr_history[_sys_doc_id]), ssr_history[entity_propensity] =""Highest"")
			var res =  if(ISBLANK(cnt), 0,cnt)
			return res"
"meas.ssr_history_propensity_low_count","KEEP","Count of ssr history propensity low count. Respects the current filter context.","Calculates the number of propensity low count.","var cnt = CALCULATE(count(ssr_history[_sys_doc_id]), ssr_history[entity_propensity] =""Low"")
			var res =  if(ISBLANK(cnt), 0,cnt)
			return res"
"meas.ssr_history_propensity_lowest_count","KEEP","Count of ssr history propensity lowest count. Respects the current filter context.","Calculates the number of propensity lowest count.","var cnt = CALCULATE(count(ssr_history[_sys_doc_id]), ssr_history[entity_propensity] =""Lowest"")
			var res =  if(ISBLANK(cnt), 0,cnt)
			return res"
"meas.ssr_history_propensity_mid_count","KEEP","Count of ssr history propensity mid count. Respects the current filter context.","Calculates the number of propensity mid count.","var cnt = CALCULATE(count(ssr_history[_sys_doc_id]), ssr_history[entity_propensity] =""Mid"")
			var res =  if(ISBLANK(cnt), 0,cnt)
			return res"
"meas.ssr_history_rep_users_avg","KEEP","Average of ssr history rep users avg. Respects the current filter context.","Returns the average rep users average.","CALCULATE(AVERAGE(ssr_history[step_users_tot]))"
"meas.ssr_history_reps","KEEP","Measure calculating ssr history reps. Respects the current filter context.","Calculates reps in the current reporting context.",""
"meas.ssr_history_reps_existing_customer_selling","KEEP","Measure calculating ssr history reps existing customer selling. Respects the current filter context.","Calculates reps existing customer selling in the current reporting context.",""
"meas.ssr_history_reps_mtd","KEEP","Measure calculating ssr history reps mtd. Respects the current filter context.","Returns reps month-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var res = CALCULATE(
			    [meas.ssr_history_reps],
			    cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply
			)
			RETURN
			res"
"meas.ssr_history_reps_new_logo","KEEP","Measure calculating ssr history reps new logo. Respects the current filter context.","Calculates reps new logo in the current reporting context.",""
"meas.ssr_history_reps_post_sales","KEEP","Measure calculating ssr history reps post sales. Respects the current filter context.","Calculates reps post sales in the current reporting context.",""
"meas.ssr_history_reps_prospecting","KEEP","Measure calculating ssr history reps prospecting. Respects the current filter context.","Calculates reps prospecting in the current reporting context.",""
"meas.ssr_history_rev_acct_ltv","KEEP","Measure calculating ssr history rev acct ltv. Respects the current filter context.","Returns revenue account ltv.","DIVIDE( [meas.ssr_history_rev_retained_avg_acct_amt],[meas.ssr_history_rev_churned_rate] )"
"meas.ssr_history_rev_avg_won_amt","KEEP","Average of ssr history rev avg won amt. Respects the current filter context.","Returns the average revenue average won amount.","CALCULATE(Average(ssr_history[opp_won_amt]), ssr_history[opp_won_amt] > 0 )"
"meas.ssr_history_rev_avg_won_amt_existing_customer_selling","KEEP","Average of ssr history rev avg won amt existing customer selling. Respects the current filter context.","Returns the average revenue average won amount existing customer selling where step is Existing Customer Selling.","CALCULATE(Average(ssr_history[opp_won_amt]), ssr_history[opp_won_amt] > 0 ,ssr_history[step_name]=""Existing Customer Selling"")"
"meas.ssr_history_rev_avg_won_amt_new_logo","KEEP","Average of ssr history rev avg won amt new logo. Respects the current filter context.","Returns the average revenue average won amount new logo where step is New Logo Selling.","CALCULATE(Average(ssr_history[opp_won_amt]), ssr_history[opp_won_amt] > 0 ,ssr_history[step_name]=""New Logo Selling"")"
"meas.ssr_history_rev_cagr","KEEP","Measure calculating ssr history rev cagr. Respects the current filter context.","Summarizes revenue cagr.","-- annual num
			var start_year = Year([meas.context_date_min])
			var end_year = Year([meas.context_date_max]) 
			var period_years = end_year - start_year
			var start_date = date(start_year ,1,1) -- jan 1
			var start_date_end = Date(start_year, 12,31)
			
			var end_date = date(end_year , 1,1) -- jan 1 the prev  yr
			var end_date_end = Date(end_year , 12,31)
			
			var first_period_rev = calculate(sum(ssr_history[opp_won_amt]), cal_end_dates[date] >= start_date  && cal_end_dates[date] <= start_date_end  )
			var last_period_rev = calculate(sum(ssr_history[opp_won_amt]) , cal_end_dates[date] >= end_date  && cal_end_dates[date] <= end_date_end  )
			
			var cagr_growth_rate = divide(last_period_rev , first_period_rev ,blank() )  ^ (1/period_years) - 1
			return  
			cagr_growth_rate
			
			
			
			
			
			//https://powerbi.tips/2016/05/measures-calculate-cagr/"
"meas.ssr_history_rev_churned_amt","KEEP","Measure calculating ssr history rev churned amt. Respects the current filter context.","Calculates the number of revenue churned amount.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			// assign the res
			var res = churned_amt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_churned_avg_age_months","KEEP","Average of ssr history rev churned avg age months. Respects the current filter context.","Calculates the number of revenue churned average age months.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			
			var avg_age = AVERAGEX(churned_custs, DateDiff(ssr[trueai_first_purchase], ssr[trueai_churned_on], month))
			
			// assign the res
			var res = avg_age 
			return res"
"meas.ssr_history_rev_churned_count","KEEP","Count of ssr history rev churned count. Respects the current filter context.","Calculates the number of revenue churned count.","// get the period dates based on current filter contetxt 
			// this is a test for git
			var period_start = [meas.context_date_min]      // get the context max date 
			var period_end = [meas.context_date_max]        // get the context min dat
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			
			
			// assign the res
			var res = churned_cnt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_churned_rate","KEEP","Rate of ssr history rev churned rate. Respects the current filter context.","Returns revenue churned rate.","DIVIDE(abs([meas.ssr_history_rev_churned_count]),[meas.ssr_history_rev_starting_count] , blank())"
"meas.ssr_history_rev_ending_amt","KEEP","Measure calculating ssr history rev ending amt. Respects the current filter context.","Calculates the number of revenue ending amount.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			
			
			// assign the res
			var res = ending_amt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_ending_avg_acct_amt","KEEP","Average of ssr history rev ending avg acct amt. Respects the current filter context.","Calculates revenue ending average account amount in the current reporting context.",""
"meas.ssr_history_rev_ending_count","KEEP","Count of ssr history rev ending count. Respects the current filter context.","Calculates the number of revenue ending count.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			// assign the res
			var res = ending_cnt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_ending_max_acct_amt","KEEP","Measure calculating ssr history rev ending max acct amt. Respects the current filter context.","Summarizes revenue ending max account amount.","var  tbl_data = CALCULATETABLE(SUMMARIZE(ssr_history, ssr_history[_sys_ssr_id], ""opp_won_amount"", sum(ssr_history[opp_won_amt]))) // group by account
			var res = MAXX(tbl_data, [opp_won_amount]) // pick the max nums
			return  res"
"meas.ssr_history_rev_new_amt","KEEP","Measure calculating ssr history rev new amt. Respects the current filter context.","Calculates the number of revenue new amount.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			// assign the res
			var res = new_amt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_new_count","KEEP","Count of ssr history rev new count. Respects the current filter context.","Calculates the number of revenue new count.","// get the period dates based on current filter contetxt 
			var period_start = [meas.context_date_min]
			var period_end = [meas.context_date_max]
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var prev_period_start = EDATE(period_start,period_in_months)
			var prev_period_end =   EDATE(period_end,period_in_months)
			
			 var overridden_dates_tbl =  CALCULATETABLE(ssr , cal_end_dates[Date] >=  date(1900,1,1) &&  cal_end_dates[Date] < date(2100,1,1)) -- get current filter context except all dates
			
			// get the tables - break out of filter context (AKK) and override based on first purch and churn
			var starting_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_start)  // client before start of period,  churn after period started
			var retained_custs = Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_start && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // client before start of period,  churn after period end
			var churned_custs = Filter((overridden_dates_tbl), ssr[col.trueai_churn_date_no_blanks] >= period_start && ssr[col.trueai_churn_date_no_blanks] <= period_end)  // churned after period started, before period ended
			var ending_custs =  Filter((overridden_dates_tbl), ssr[trueai_first_purchase] <= period_end && ssr[col.trueai_churn_date_no_blanks]  >= period_end)  // // client before end of period, churn after  period ended
			
			// get the values based on temp tables
			var starting_cnt = COUNTROWS(starting_custs)
			var starting_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,starting_custs) // look at last years rev for these 
			var retained_cnt = COUNTROWS(retained_custs)
			var retained_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs, churned_custs)) // look at last years rev for these 
			var new_cnt = COUNTROWS( EXCEPT(ending_custs,starting_custs ))
			var new_amt = CALCULATE(SUM(ssr_history[opp_won_amt]), EXCEPT(ending_custs,starting_custs ) ) // not sure why we cannot use new customers here
			var churned_cnt = COUNTROWS(churned_custs) * -1  
			var churned_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= prev_period_start &&  cal_end_dates[date] <= prev_period_end ,EXCEPT(starting_custs,retained_custs)) * -1 
			var ending_cnt = COUNTROWS(ending_custs)
			var ending_amt = CALCULATE(SUM(ssr_history[opp_won_amt]),  cal_end_dates[date] >= period_start &&  cal_end_dates[date] <= period_end ,ending_custs) 
			
			
			// assign the res
			var res = new_cnt 
			return IF(isblank(res), 0, res)"
"meas.ssr_history_rev_new_growth_rate","KEEP","Rate of ssr history rev new growth rate. Respects the current filter context.","Returns revenue new growth rate.","DIVIDE([meas.ssr_history_rev_new_count],[meas.ssr_history_rev_starting_count] , blank())"
"meas.ssr_history_rev_pareto_count","KEEP","Count of ssr history rev pareto count. Respects the current filter context.","Summarizes revenue pareto count.","var period_start = calculate(MIN(cal_end_dates[Date]))
			var period_end = calculate(MAX(cal_end_dates[Date]))
			var period_in_months =  DATEDIFF(period_start, period_end + 1, month) * -1
			var  filt = CALCULATETABLE(SUMMARIZE(Filter(ALLSELECTED(ssr_history),ssr_history[opp_won_amt] <> 0 && RELATED(cal_end_dates[Date]) >= period_start &&  (RELATED(cal_end_dates[Date]) <= period_end )), ssr_history[_sys_ssr_id], ""acct_won_amount"", sum(ssr_history[opp_won_amt]))) // group by account
			var filt_ranked = ADDCOLUMNS(filt, ""acct_won_rank"",  RANKX(filt, [acct_won_amount]))    -- rank by amount
			var filt_ranked_totaled = ADDCOLUMNS(filt_ranked, ""acct_won_run_tot"",  SUMX(FIlter(filt_ranked, [acct_won_rank] >= EARLIER([acct_won_rank])), [acct_won_amount]) ) -- running total sorted by rank   
			var tot_amt = SUMX(filt, [acct_won_amount]) // get the total amount for all 
			var tot_count = COUNTX(filt,[acct_won_amount])  // get the total count for all
			var pareto = tot_amt * .2  // calculate the top pareto amount inverted
			var count_to_pareto = COUNTX(FILTER(filt_ranked_totaled, [acct_won_run_tot] >= pareto ), [acct_won_amount]) // apply a filter to the count where the running total is still less than bottom pareto
			
			var res  = count_to_pareto // get the inverse of that count
			
			return res// return count needed to get to 80%))))"
